,pr
2596,1149.883316131313
2597,673.6763600260019
2598,821.464425092563
2599,653.2339467667043
2600,771.2824401911348
2601,694.0311291720718
2602,627.8973649721593
2603,524.0860780701041
2604,432.3554023168981
2605,751.9245563540608
2606,613.897114014253
2607,1032.539254613225
2608,636.7746138945222
2609,974.0065455436707
2610,873.8508299924433
2611,873.149786470462
2612,848.9120834972709
2613,681.2740758061409
2614,837.0262522716075
2615,1043.086347123608
2616,1151.5684281941503
2617,1348.1930456589907
2618,524.5289015583694
2619,792.8053928771988
2620,918.6439824756235
2621,485.52632820792496
2622,614.3532999325544
2623,1298.9865156356245
2624,832.6570255681872
2625,748.1066449312533
2626,723.2054592110217
2627,1293.4797724708915
2628,850.5553455557674
2629,730.3750347113237
2630,1047.4263947457075
2631,972.4444299470633
2632,604.8432730603963
2633,746.7705069109797
2634,1036.5700238384306
2635,1501.8787389155477
2636,538.8456376735121
2637,1264.3713028170212
2638,872.2592033911496
2639,683.7533006910235
2640,476.20291204657406
2641,598.802837356925
2642,1353.2296470366464
2643,507.9891577363014
2644,653.8280619308352
2645,633.4322964772582
2646,664.8290168959647
2647,780.9451279230416
2648,647.6092915982008
2649,780.9128320310265
2650,877.6361770927906
2651,720.0124343857169
2652,649.5615365915
2653,867.0460458146408
2654,804.898519674316
2655,819.3285497836769
2656,401.0075865313411
2657,751.2154919793829
2658,647.7390044834465
2659,893.477683654055
2660,1287.1384520083666
2661,735.6150441337377
2662,675.0314032193273
2663,400.33597166184336
2664,806.3156488817185
2665,279.0867380797863
2666,1309.9178283009678
2667,444.7925921995193
2668,1003.0163761228323
2669,1113.0482086446136
2670,591.6226962581277
2671,1132.9307904001366
2672,527.8839829377874
2673,589.6408962551504
2674,683.529811911289
2675,913.3560440735935
2676,641.4258723612875
2677,666.3860813481778
2678,838.2050454150885
2679,838.2938738912344
2680,678.5963670350611
2681,740.1011028327048
2682,1097.176559921354
2683,883.1688706297427
2684,1034.4662231393158
2685,612.8337333910167
2686,965.9661923535168
2687,848.0968734249473
2688,1037.7183969598264
2689,389.73957910202444
2690,501.8220109166622
2691,720.4970362130553
2692,537.9145234823227
2693,257.56715051829815
2694,501.64918885566294
2695,703.3112400211394
2696,1060.8721903525293
2697,709.4863888341933
2698,641.9354350771755
2699,699.2393801920116
2700,475.1598780741915
2701,785.0264953449368
2702,315.79466108232737
2703,1134.8747894866392
2704,836.9982474949211
2705,1254.8685518559068
2706,1011.8753893766552
2707,531.973471166566
2708,506.97534810751677
2709,492.69132781773806
2710,1778.4866594709456
2711,1048.5179398208945
2712,571.0779952816665
2713,555.568854650487
2714,753.7075279746205
2715,472.8897165041417
2716,403.1535817310214
2717,697.0119455829263
2718,796.2002465967089
2719,961.3240743521601
2720,692.6632993854582
2721,906.3000530004501
2722,691.6711967904121
2723,742.7333645056933
2724,500.8381793741137
2725,300.20923716947436
2726,770.3248745994642
2727,759.9107972346246
2728,701.8423420842737
2729,1130.513515113853
2730,800.090716592972
2731,479.039878025651
2732,508.43174988403916
2733,659.0114212129265
2734,819.8742129374295
2735,926.7630920279811
2736,361.64454692043364
2737,750.0637964811176
2738,675.6113148294389
2739,760.6257840525359
2740,935.2010278031271
2741,516.9241877272768
2742,967.1498172450811
2743,1183.7189289741218
2744,535.2818129584193
2745,729.8646226990968
2746,536.0843106172979
2747,853.4461566712707
2748,664.1110842581877
2749,1148.3530526049435
2750,576.8229550682008
2751,1016.6961663868278
2752,1050.9072298184037
2753,484.44880060851574
2754,1364.785486087203
2755,742.5365867558867
2756,914.1661376226693
2757,813.9000474940985
2758,357.16939391568303
2759,743.5027081752196
2760,869.3789094686508
2761,593.8517508795485
2762,280.94954481348395
2763,854.7344694379717
2764,764.9556024000049
2765,686.1373993568122
2766,671.8905318528414
2767,604.256480326876
2768,842.6089392509311
2769,474.516436457634
2770,628.2110885018528
2771,621.1539910174906
2772,715.9167904872447
2773,1392.1721586026251
2774,599.3162184488028
2775,810.9732616692781
2776,527.8480446897447
2777,1095.7597890403122
2778,1525.3682715352625
2779,955.4449609480798
2780,1025.5134251900017
2781,569.915937865153
2782,542.4200066132471
2783,963.9767656568438
2784,782.439811527729
2785,551.5643098857254
2786,980.5765561759472
2787,1116.1596733611077
2788,486.6128164809197
2789,639.4262365065515
2790,923.633341351524
2791,875.2554781269282
2792,729.5338422060013
2793,623.1283793225884
2794,645.5814303131774
2795,690.9917810931802
2796,1179.4387514004525
2797,597.8692702017768
2798,629.9862718675325
2799,782.4913011398166
2800,520.9424809087109
2801,880.4074932821095
2802,764.5259307464585
2803,371.7760738916695
2804,955.107823619619
2805,790.915667032823
2806,895.5426669213921
2807,701.320058782585
2808,645.0897342525423
2809,935.0624284241349
2810,621.2117727147415
2811,1269.3980445619673
2812,754.4296888634562
2813,615.5370983295143
2814,865.7519275322602
2815,546.453353902325
2816,858.8554551824969
2817,705.1173073472455
2818,583.766066422686
2819,626.4894919004291
2820,973.5085800290108
2821,842.3905286472291
2822,491.2117284955457
2823,486.82994465344075
2824,475.737322261557
2825,735.5583826778457
2826,939.2246053554118
2827,800.5121171940118
2828,1206.256011268124
2829,371.31631665397435
2830,502.77070573065873
2831,1155.2866525948048
2832,450.7256117183715
2833,795.9441790357232
2834,404.17312583886513
2835,941.9951426563784
2836,454.9313887953758
2837,354.75132339634
2838,1167.0949269086123
2839,1186.6589684737846
2840,723.5012695658952
2841,418.2740149553865
2842,583.6703970562708
2843,1013.1483167409897
2844,1139.8939837468788
2845,1370.695649413392
2846,756.5740697085857
2847,262.90314111392945
2848,923.4737867955118
2849,1010.9971214085817
