,pr
2811,530.3553456531517
2812,339.9900315506784
2813,495.935916606868
2814,367.4006259727321
2815,534.6389006001118
2816,631.1592725298397
2817,464.6315801939636
2818,534.0214085758021
2819,488.71540580512374
2820,507.2979326807399
2821,288.7538776557449
2822,533.5606125001505
2823,550.4988163561848
2824,354.46873398759635
2825,555.0525369817478
2826,612.9106325755856
2827,359.58158344292315
2828,307.65497764441534
2829,337.5457522353827
2830,321.39791865942016
2831,586.0915512889392
2832,425.8259912547146
2833,531.1577439570101
2834,510.76584101701883
2835,430.34852247744766
2836,551.4020968781551
2837,377.60212115449576
2838,518.6504641220381
2839,350.2906222857348
2840,444.36715791725874
2841,663.8538235922169
2842,424.5354584042616
2843,646.7716407629268
2844,510.47319272038294
2845,409.28145025009144
2846,464.52430489438257
2847,397.05921084787406
2848,670.2008847956677
2849,567.1716958724915
2850,521.0798326676013
2851,421.6280091757653
2852,467.56202852820934
2853,547.981722532495
2854,538.7334808940068
2855,376.80495430008705
2856,381.7291900009877
2857,482.88400236742746
2858,364.6220581561465
2859,382.31979986303486
2860,459.00585337622033
2861,470.98698415939
2862,512.1199200049887
2863,674.459997145459
2864,441.56983139400836
2865,628.0129049398965
2866,699.0267466038858
2867,353.9589126324927
2868,492.74835632240865
2869,460.13551365977037
