,pr
2407,581.3183139078319
2408,719.164482713677
2409,641.3024408742785
2410,778.1536624766886
2411,770.5782974604517
2412,841.9434467330575
2413,883.6568998172879
2414,485.7957179658115
2415,521.2110207416164
2416,707.3385391384363
2417,712.4474243726622
2418,1533.587885973975
2419,606.0192473698407
2420,890.1314648799598
2421,532.9515751451254
2422,235.5298077687621
2423,550.6124580278993
2424,666.2567223887891
2425,619.8848996311426
2426,784.382135909982
2427,421.732364734643
2428,471.38328419532627
2429,332.5622306903824
2430,786.0129200387789
2431,337.5247018877417
2432,701.4002415351611
2433,1144.6371881291311
2434,729.9813365098089
2435,644.8046007659286
2436,758.1943863071501
2437,704.0762831456959
2438,673.1296218931675
2439,572.2188259474933
2440,617.7989209536463
2441,468.2197521440728
2442,583.7409433443142
2443,475.96418811009164
2444,815.9861418418586
2445,735.8327814610675
2446,753.852066770196
2447,594.971936289221
2448,706.9019329268485
2449,745.3085391316563
2450,487.1124202385545
2451,594.9575579725206
2452,551.2073036748916
2453,498.7701999954879
2454,1114.890950359404
2455,401.6510476358235
2456,648.2828772626863
2457,489.19090109411627
2458,859.2854996211827
2459,571.4676104485989
2460,906.6438149660826
2461,365.4318528715521
2462,442.43800579570654
2463,649.9123531859368
2464,200.4241744056344
2465,732.5355088105425
2466,1041.1463053431362
2467,404.4527322985232
2468,601.2604985386133
2469,387.90041625034064
2470,376.7876490019303
2471,499.0749773103744
2472,397.32799034100026
2473,558.905266597867
2474,980.4305834462866
2475,650.0612264731899
2476,833.9883865322918
2477,371.5496795252004
2478,642.4470094498289
2479,406.2449047341986
2480,921.3969033211515
2481,622.2887389361858
2482,403.4641689620912
2483,380.9668018016964
2484,688.4033898822963
2485,625.7260115817189
2486,779.1101210284978
2487,747.614776622504
2488,976.0706876870245
2489,627.755377208814
2490,645.8616522140801
2491,782.0544208399951
2492,727.8984997887164
2493,882.6928334310651
2494,617.6059012301266
2495,1119.0494836773723
2496,624.5740941725671
2497,723.0617923429236
2498,501.3946954160929
2499,1019.4760182872415
2500,466.8778815306764
2501,592.3794236965477
